pattern,frequency
request#price->shop_turn,3997
inform->shop_turn,3682
shop_turn->send_image,2969
shop_turn->inform,2904
send_image->shop_turn,2482
shop_turn->request#price,2435
shop_turn->agree,2403
send_image->request#price,2158
shop_turn->inform->shop_turn,2102
ask_if_sells#size->shop_turn,1917
shop_turn->request#price->shop_turn,1835
shop_turn->thank,1796
send_image->request#price->shop_turn,1547
ask_availability#size->shop_turn,1268
agree->shop_turn,1045
shop_turn->ask_if_sells#size,1014
send_image->ask_if_sells#size,933
shop_turn->greet,906
shop_turn->agree->shop_turn,899
send_image->inform,886
shop_turn->send_image->shop_turn,882
request#price->send_image,805
send_image->ask_availability#size,790
shop_turn->send_image->request#price,787
request#price->shop_turn->send_image,681
shop_turn->ask_availability#size,661
