,pattern,frequency
0,send_image->shop_turn->handoff,650
1,request#price->send_image,805
2,shop_turn->thank,1796
3,shop_turn->ask_if_sells#size,1014
4,handoff->shop_turn->inform->shop_turn,912
5,shop_turn->handoff->shop_turn->agree,1052
6,shop_turn->handoff->shop_turn->inform,778
7,shop_turn->agree->shop_turn,899
8,send_image->ask_if_sells#size,933
9,handoff->request#price,752
10,shop_turn->handoff->shop_turn->handoff->shop_turn->handoff,693
11,handoff->shop_turn->handoff->shop_turn->handoff->shop_turn,877
12,handoff->inform,1109
13,greet->handoff,788
14,shop_turn->send_image->handoff,645
15,send_image->handoff->shop_turn,1242
16,ask_if_sells#size->shop_turn,1917
17,request#price->shop_turn->send_image,681
18,shop_turn->send_image->request#price,787
19,ask_availability#size->shop_turn,1268
20,send_image->ask_availability#size,790
21,shop_turn->request#price->shop_turn,1835
22,shop_turn->send_image->shop_turn,882
23,send_image->inform,886
24,inform->shop_turn->handoff->shop_turn,1099
25,shop_turn->inform->shop_turn->handoff,741
26,request#price->shop_turn->handoff->shop_turn,916
27,handoff->shop_turn->request#price,605
28,send_image->request#price->shop_turn,1547
29,shop_turn->greet,906
30,inform->handoff->shop_turn,968
31,shop_turn->agree->handoff,693
32,handoff->greet,686
33,shop_turn->handoff->shop_turn->send_image,626
34,shop_turn->inform->handoff,640
35,shop_turn->ask_availability#size,661
36,handoff->send_image->request#price,830
37,handoff->send_image,2645
38,send_image->shop_turn,2482
39,shop_turn->request#price,2435
40,shop_turn->inform->shop_turn,2102
41,agree->shop_turn,1045
42,handoff->shop_turn->inform,1313
43,handoff->shop_turn->agree,1575
44,handoff->shop_turn->handoff->shop_turn->handoff,1041
45,inform->handoff,1127
46,shop_turn->handoff->shop_turn->handoff->shop_turn,1876
47,send_image->handoff,1644
48,send_image->request#price,2158
49,inform->shop_turn->handoff,1343
50,request#price->shop_turn->handoff,1101
51,handoff->shop_turn->send_image,1065
52,agree->handoff,747
53,shop_turn->handoff->shop_turn->handoff,2160
54,inform->shop_turn,3682
55,shop_turn->inform,2904
56,shop_turn->agree,2403
57,handoff->shop_turn->handoff->shop_turn,2899
58,shop_turn->send_image,2969
59,request#price->shop_turn,3997
60,handoff->shop_turn->handoff,3321
61,shop_turn->handoff->shop_turn,6333
62,handoff->shop_turn,9038
63,shop_turn->handoff,7078
